population_size,crossover_prob,mutation_prob,max_generations,k_value_tournament,replacement_count,best_solution,best_cost,execution_time
100,0.7,0.05,500,3,0.2,"[7, 16, 4, 3, 15, 14, 5, 6, 0, 11, 13, 2, 9, 12, 10, 1, 8]",39,0.4380366802215576
100,0.7,0.05,500,3,0.2,"[9, 10, 13, 2, 11, 0, 5, 6, 14, 15, 4, 3, 16, 7, 8, 12, 1]",39,0.4450390338897705
100,0.7,0.05,500,3,0.2,"[5, 14, 15, 4, 3, 8, 16, 7, 11, 0, 2, 13, 9, 1, 10, 12, 6]",39,0.43055224418640137
100,0.7,0.05,500,3,0.2,"[7, 8, 3, 4, 14, 6, 15, 5, 9, 12, 10, 1, 13, 2, 0, 11, 16]",39,0.4560573101043701
100,0.7,0.05,500,3,0.2,"[9, 1, 10, 12, 16, 7, 8, 3, 4, 14, 5, 6, 15, 11, 0, 13, 2]",39,0.44052886962890625
100,0.7,0.05,500,3,0.3,"[6, 5, 11, 0, 2, 13, 10, 9, 1, 12, 16, 8, 7, 3, 4, 15, 14]",39,0.4520413875579834
100,0.7,0.05,500,3,0.3,"[14, 12, 9, 10, 1, 13, 2, 0, 11, 8, 16, 7, 4, 3, 6, 15, 5]",39,0.4620401859283447
100,0.7,0.05,500,3,0.3,"[8, 7, 16, 3, 4, 5, 14, 15, 6, 1, 9, 10, 12, 2, 13, 0, 11]",39,0.4520409107208252
100,0.7,0.05,500,3,0.3,"[8, 0, 11, 2, 13, 10, 1, 12, 9, 6, 5, 14, 15, 4, 3, 16, 7]",39,0.44083499908447266
100,0.7,0.05,500,3,0.3,"[12, 9, 1, 13, 2, 0, 11, 15, 5, 14, 6, 3, 4, 16, 8, 7, 10]",39,0.4528641700744629
100,0.7,0.05,500,3,0.4,"[6, 4, 3, 7, 16, 8, 9, 1, 12, 10, 2, 13, 0, 11, 14, 15, 5]",39,0.44403767585754395
100,0.7,0.05,500,3,0.4,"[9, 8, 7, 16, 4, 3, 6, 14, 5, 15, 11, 0, 13, 2, 10, 1, 12]",39,0.4560413360595703
100,0.7,0.05,500,3,0.4,"[14, 12, 9, 10, 1, 13, 2, 11, 0, 8, 7, 16, 3, 4, 15, 5, 6]",39,0.4650390148162842
100,0.7,0.05,500,3,0.4,"[12, 9, 1, 10, 13, 2, 0, 11, 5, 14, 6, 15, 4, 3, 7, 16, 8]",39,0.4356985092163086
100,0.7,0.05,500,3,0.4,"[7, 3, 4, 6, 15, 14, 5, 1, 12, 10, 9, 13, 2, 0, 11, 8, 16]",39,0.43703770637512207
100,0.7,0.05,500,5,0.2,"[11, 0, 13, 2, 10, 9, 1, 12, 16, 7, 8, 4, 3, 15, 14, 5, 6]",39,0.46604037284851074
100,0.7,0.05,500,5,0.2,"[10, 9, 7, 16, 8, 3, 4, 14, 6, 15, 5, 11, 0, 2, 13, 12, 1]",39,0.46204090118408203
100,0.7,0.05,500,5,0.2,"[0, 2, 13, 9, 12, 10, 1, 5, 14, 6, 15, 4, 3, 7, 8, 16, 11]",39,0.4540388584136963
100,0.7,0.05,500,5,0.2,"[6, 14, 11, 0, 2, 13, 10, 1, 9, 12, 8, 7, 16, 3, 4, 5, 15]",39,0.47022175788879395
100,0.7,0.05,500,5,0.2,"[7, 8, 0, 11, 13, 2, 12, 10, 1, 9, 5, 14, 6, 15, 3, 4, 16]",39,0.45504045486450195
100,0.7,0.05,500,5,0.3,"[14, 5, 6, 15, 3, 4, 8, 16, 7, 0, 11, 13, 2, 1, 9, 12, 10]",39,0.46604204177856445
100,0.7,0.05,500,5,0.3,"[6, 10, 12, 1, 9, 2, 13, 0, 11, 7, 8, 16, 4, 3, 5, 14, 15]",39,0.4620392322540283
100,0.7,0.05,500,5,0.3,"[12, 5, 14, 6, 15, 4, 3, 16, 8, 7, 11, 0, 2, 13, 1, 10, 9]",39,0.4670419692993164
100,0.7,0.05,500,5,0.3,"[14, 15, 0, 11, 2, 13, 1, 10, 9, 12, 16, 8, 7, 3, 4, 5, 6]",39,0.47920751571655273
100,0.7,0.05,500,5,0.3,"[6, 15, 14, 4, 3, 7, 8, 16, 11, 0, 13, 2, 9, 12, 1, 10, 5]",39,0.46604132652282715
100,0.7,0.05,500,5,0.4,"[11, 0, 15, 6, 14, 5, 3, 4, 7, 16, 8, 9, 12, 1, 10, 2, 13]",39,0.4500398635864258
100,0.7,0.05,500,5,0.4,"[6, 11, 0, 2, 13, 9, 12, 1, 10, 8, 16, 7, 3, 4, 14, 5, 15]",39,0.4610409736633301
100,0.7,0.05,500,5,0.4,"[9, 12, 1, 10, 2, 13, 0, 11, 5, 15, 14, 6, 3, 4, 8, 16, 7]",39,0.4567992687225342
100,0.7,0.05,500,5,0.4,"[12, 10, 13, 2, 11, 0, 16, 8, 7, 4, 3, 6, 15, 5, 14, 1, 9]",39,0.4656989574432373
100,0.7,0.05,500,5,0.4,"[16, 9, 12, 1, 10, 2, 13, 0, 11, 5, 15, 6, 14, 4, 3, 8, 7]",39,0.46604108810424805
100,0.7,0.05,500,7,0.2,"[0, 11, 13, 2, 10, 1, 12, 9, 15, 14, 6, 5, 4, 3, 16, 7, 8]",39,0.5170443058013916
100,0.7,0.05,500,7,0.2,"[1, 10, 8, 7, 16, 4, 3, 15, 5, 14, 6, 0, 11, 2, 13, 9, 12]",39,0.541048526763916
100,0.7,0.05,500,7,0.2,"[14, 0, 11, 13, 2, 9, 12, 1, 10, 16, 7, 8, 4, 3, 5, 15, 6]",39,0.5184128284454346
